target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs011801_s,0.33120609312868 -1,0.0476687393697 -1,0.036064268722327146 -1,0.0034624072016885407 -1,0.9055895161290323 -1,0.8798464003164557 -1,0.8919459935897436 -1
hs012001_s,0.27107215340772 -1,0.14998133779 -1,0.0362209407637204 -1,0.003984377557918347 -1,0.873469391025641 -1,0.854716135734072 -1,0.8637470063025211 -1
hs012201_s,0.40584229391608 -1,0.0156988817971 -1,0.031236028591194166 -1,0.00190115272758718 -1,0.8943968510719755 -1,0.8715874525075987 -1,0.8873608371559634 -1
hs012401_s,0.31295340275752 -1,0.0418262643815 -1,0.04990921301316809 -1,0.008001062742060422 -1,0.9090498355263158 -1,0.8838834355221519 -1,0.8902726161858974 -1
hs012501_s,0.3783428702508 -1,0.0134291513218 -1,0.033973703726149065 -1,0.002650819035879239 -1,0.9265907041139241 -1,0.8577395010964912 -1,0.8795448401162791 -1
hs012701_s,0.27465185704936 -1,0.188922342531 -1,0.04428139323629201 -1,0.005171055598117545 -1,0.9117168981481482 -1,0.89568234375 -1,0.9028539351851852 -1
hs012901_s,0.25517841329372 -1,0.0256129112754 -1,0.04396962282981552 -1,0.004849283707801018 -1,0.8094800251256281 -1,0.7813462258614682 -1,0.7739119186046511 -1
hs013001_s,0.30249272344564 -1,0.0172804096765 -1,0.04071175365662899 -1,0.004532205984961333 -1,0.9480495111731844 -1,0.9094298285537536 -1,0.917085313531353 -1
hs013401_s,0.33132817018616 -1,0.0405255772958 -1,0.038581904204723697 -1,0.004479584646731593 -1,0.8986144723360656 -1,0.8552419384057971 -1,0.8732284388075314 -1
hs013601_s,0.28929880044408 -1,0.0228670766122 -1,0.04028744939151489 -1,0.0039000577765034637 -1,0.9159327850877194 -1,0.8841829915620094 -1,0.9060767361111112 -1
hs013901_s,0.316462187734 -1,0.030541185713099998 -1,0.043470771431305344 -1,0.005611284146063821 -1,0.8881348252118645 -1,0.8313886597938144 -1,0.8374962394817792 -1
hs028201_s,0.25563713698292 -1,0.045443174385099996 -1,0.034482095476874544 -1,0.004390602953437179 -1,0.8149863636363637 -1,0.7639922280844156 -1,0.7415747751798561 -1
hs028401_s,0.23484162869188 -1,0.0538546354542 -1,0.03819919634580306 -1,0.0036644074788433367 -1,0.8604101371951219 -1,0.8361153516548463 -1,0.8386858095533498 -1
hs028501_s,0.09483260923612 -1,0.07445512891230001 -1,0.03486937440963281 -1,0.003767078365963032 -1,0.8207042867435158 -1,0.7476452676240208 -1,0.7706676695478724 -1
hs028901_s,0.18286189147744 -1,0.0452415318406 -1,0.03483107222869433 -1,0.003715706466667126 -1,0.7102094450672646 -1,0.6749269308943089 -1,0.6660446539256198 -1
hs029201_s,0.28363737483592 -1,0.07359797134429999 -1,0.039178683509064165 -1,0.00413328017722461 -1,0.8579859857482186 -1,0.8242670277987003 -1,0.8286860603932584 -1
hs029401_s,0.15103524310532 -1,0.053228148645 -1,0.027614986900964162 -1,0.0026249970891031467 -1,0.7855509024784483 -1,0.7536434976708075 -1,0.7774990145228216 -1
hs029601_s,0.28840703540376 -1,0.0294795811914 -1,0.034414312616354 -1,0.003844517936417013 -1,0.8260330357142858 -1,0.7876261533665836 -1,0.8275486402671756 -1
hs029701_s,0.11767618944228 -1,0.06053409551530001 -1,0.027667500000000005 -1,0.0025199999999999997 -1,0.7627880530973452 -1,0.7533675506396589 -1,0.7764150475543479 -1
hs029801_s,0.10226694990232 -1,0.06427123807969999 -1,0.027860000000000006 -1,0.00266 -1,0.7845721153846155 -1,0.771380894549763 -1,0.7642577743902439 -1
hs029901_s,0.2351989466834 -1,0.0473524125885 -1,0.028035000000000004 -1,0.0025900000000000003 -1,0.8380123641304348 -1,0.8304696149553571 -1,0.8470867015418503 -1
hs030001_s,0.30662317055944 -1,0.0250887394908 -1,0.026949999999999998 -1,0.002555 -1,0.9088051282051283 -1,0.8812755967682703 -1,0.8813549973628692 -1
hs030101_s,0.26283280724624 -1,0.0373288453479 -1,0.038973179480908386 -1,0.0037045848221475912 -1,0.7054226293103448 -1,0.665541300154321 -1,0.6692920794025157 -1
hs030201_s,0.11163306996884 -1,0.0494577549566 -1,0.025830000000000002 -1,0.0017675 -1,0.7894814193002258 -1,0.7823810069444443 -1,0.7897524103139013 -1
hs030401_s,0.22828172522344 -1,0.031196830934999996 -1,0.0336028984470862 -1,0.003973877344509427 -1,0.8059514492753623 -1,0.8111511072834645 -1,0.8292726825842697 -1
hs030601_s,0.09958363549708 -1,0.0647843646256 -1,0.030526446704525215 -1,0.002792021607075724 -1,0.8066110808165547 -1,0.7711939592836143 -1,0.7718988666639341 -1
hs030801_s,0.17120576293212 -1,0.0387016673802 -1,0.025847534098874858 -1,0.0020124758812836386 -1,0.8107366604477612 -1,0.7539762665198239 -1,0.7664976819248827 -1
hs030901_s,0.4366176252928 -1,0.014447237751500001 -1,0.030721528728211753 -1,0.0037245216268560364 -1,0.8644152201417005 -1,0.8421265780938123 -1,0.8506333869323084 -1
hs031001_s,0.10798803451604 -1,0.0644805754307 -1,0.029810036424025903 -1,0.002869848303003238 -1,0.8124185553633219 -1,0.7664973731884057 -1,0.7683057673556942 -1
hs031201_s,0.427842783473 -1,0.0177647010646 -1,0.028035000000000008 -1,0.0025900000000000003 -1,0.872135966981132 -1,0.8564745018115942 -1,0.8803097488038277 -1
hs031401_s,0.10930002552392 -1,0.0562191185286 -1,0.02451204024962564 -1,0.002149091016101394 -1,0.7780674845950705 -1,0.7316316934818482 -1,0.765228999162479 -1
